accuracy,time,attempts,next_difficulty,grade,improvement
0.769230769,74,13,1,0.769,1
0.666666667,51,15,1,0.667,1
0.909090909,86,11,2,0.909,1
0.526315789,153,19,1,0.57,1
0.357142857,38,28,0,0.41,0
0.666666667,120,15,1,0.67,1
0.769230769,94,13,1,0.75,1
0.909090909,112,11,2,0.909,1
0.555555556,231,18,1,0.37,1
0.714285714,251,14,1,0.63,1
0.833333333,83,12,2,0.83,1
0.666666667,75,15,1,0.68,1
0.833333333,82,12,2,0.83,1
0.833333333,92,12,2,0.78,1
0.769230769,87,13,1,0.88,1
0.909090909,54,11,2,0.909,1
0.714285714,54,14,1,0.75,1
0.833333333,58,12,2,0.833,1
0.666666667,51,15,1,0.65,1
0.769230769,51,13,1,0.769,1
0.909090909,79,11,2,0.909,1
0.714285714,92,14,1,0.75,1
0.769230769,83,13,1,0.769,1
0.769230769,92,13,1,0.74,1
0.714285714,85,14,1,0.714,1
0.555555556,158,18,1,0.556,1
0.769230769,166,13,1,0.53,1
0.833333333,164,12,2,0.78,1
0.588235294,154,17,1,0.54,1
0.714285714,154,14,1,0.7,1
0.384615385,33,26,0,0.4,0
0.357142857,35,28,0,0.357,0
0.416666667,33,24,1,0.417,0
0.384615385,25,26,0,0.455,0
0.454545455,42,22,1,0.455,0
0.833333333,115,12,2,0.833,1
0.833333333,109,12,2,0.83,1
0.714285714,105,14,1,0.72,1
0.666666667,124,15,1,0.63,1
0.666666667,110,15,1,0.68,1
1,94,10,2,0.98,1
1,87,10,2,1,1
0.666666667,84,15,1,0.7,1
0.769230769,88,13,1,0.769,1
0.666666667,92,15,1,0.667,1
0.666666667,109,15,1,0.667,1
0.769230769,105,13,1,0.769,1
1,96,10,2,0.96,1
0.714285714,116,14,1,0.7,1
0.769230769,113,13,1,0.72,1
0.526315789,229,19,1,0.46,1
0.555555556,227,18,1,0.52,1
0.526315789,229,19,1,0.43,1
0.476190476,228,21,1,0.41,1
0.833333333,235,12,2,0.72,1
0.833333333,238,12,2,0.72,1
0.909090909,246,11,2,0.84,1
1,244,10,2,0.94,1
0.666666667,253,15,1,0.45,1
0.555555556,245,18,1,0.51,1
0.909090909,82,11,2,0.87,1
0.588235294,74,17,1,0.6,1
0.833333333,92,12,2,0.833,1
0.666666667,78,15,1,0.67,1
0.769230769,84,13,1,0.769,1
0.769230769,65,13,1,0.769,1
0.909090909,47,11,2,0.96,1
0.769230769,61,13,1,0.78,1
0.833333333,52,12,2,0.86,1
0.833333333,57,12,2,0.84,1
